City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
159,Menongue,AO,60.64,scattered clouds,-14.6585,17.691,Ritz Lauca
160,San Patricio,US,75.06,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
161,Bulungu,CD,69.01,scattered clouds,-4.55,18.6,Maison MC Michel
162,Moyale,KE,63.88,few clouds,3.5167,39.0584,La Tahzan Guest House
163,Abonnema,NG,73.8,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
164,Saldanha,ZA,60.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
165,Darnah,LY,77.34,scattered clouds,32.767,22.6367,فندق الفردوس
170,Sao Filipe,CV,79.54,few clouds,14.8961,-24.4956,Hotel Xaguate
171,Broken Hill,AU,67.08,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
172,Enshi,CN,84.15,broken clouds,30.3,109.4833,Moevenpick Enshi
173,Galveston,US,75.31,clear sky,29.3669,-94.9669,Crystal Suites
175,Paka,MY,87.73,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
177,Yulara,AU,77.14,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
178,Butaritari,KI,82.31,broken clouds,3.0707,172.7902,Isles Sunset Lodge
179,Panama City,PA,80.55,broken clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
181,Grand-Lahou,CI,73.92,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
182,Khuzdar,PK,74.93,clear sky,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
183,Hithadhoo,MV,82.26,broken clouds,-0.6,73.0833,Scoop Guest House
184,Mabai,CN,62.74,overcast clouds,23.0128,104.4508,Yingpan Hostel
186,Kapoeta,SS,72.41,light rain,4.7717,33.5903,Eastgate Hotel
188,Labuhan,ID,88.18,light rain,-6.8844,112.2051,DoubleFAG
189,Gagnoa,CI,70.27,overcast clouds,6.1293,-5.9437,Residence Kiliyo
190,Linxia,CN,69.8,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
195,Antalaha,MG,66.72,light rain,-14.9003,50.2788,Hotel Vitasoa
196,Mitsamiouli,KM,73.69,few clouds,-11.3847,43.2844,Foyer ADM
200,Denpasar,ID,83.86,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
202,Huarmey,PE,61.57,scattered clouds,-10.0681,-78.1522,Hotel Miramar
203,Sur,OM,82.35,clear sky,22.5667,59.5289,Sur Plaza Hotel
208,Sosua,DO,75.24,scattered clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
211,Salina Cruz,MX,79.03,broken clouds,16.1667,-95.2,Amerik HOTEL
213,Buala,SB,85.5,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
216,Jizan,SA,83.34,clear sky,17.3333,42.6667,شهدان. ابوالحجر
217,Bilma,NE,85.3,clear sky,18.6853,12.9164,Expeditions Ténére voyages
218,Porto Santo,PT,70.18,scattered clouds,33.072,-16.3415,Hotel Porto Santo & Spa
219,Kruisfontein,ZA,62.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
220,Fukue,JP,79.16,few clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
221,Pacifica,US,71.15,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
223,Fukuma,JP,87.3,clear sky,33.7667,130.4667,Masago
226,Bismarck,US,64.87,clear sky,46.8083,-100.7837,Bismarck Hotel and Conference Center
227,Alexandria,EG,77.29,clear sky,31.2156,29.9553,Royal Crown Hotel
229,Jiayuguan,CN,74.01,scattered clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
230,Flinders,AU,63.05,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
231,Itaituba,BR,75.6,few clouds,-4.2761,-55.9836,Hotel Campos
232,Salinopolis,BR,79.11,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
233,Quatre Cocos,MU,73.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
234,Kavaratti,IN,80.89,overcast clouds,10.5669,72.642,Green leaf
