City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Teya,RU,60.3778,92.6267,33.93,71,100,4.68,overcast clouds
79,Codrington,AU,-38.2667,141.9667,61.84,67,76,9.1,broken clouds
80,Hamilton,US,39.1834,-84.5333,53.89,81,0,12.66,clear sky
81,Pevek,RU,69.7008,170.3133,31.24,56,0,4.92,clear sky
82,Sanchor,IN,24.7553,71.7722,85.98,51,7,8.39,clear sky
83,Georgetown,MY,5.4112,100.3354,85.95,79,20,5.75,few clouds
84,Oranjemund,NA,-28.55,16.4333,53.33,94,32,5.59,scattered clouds
85,Bluff,NZ,-46.6,168.3333,49.8,55,36,11.68,scattered clouds
86,Nanortalik,GL,60.1432,-45.2371,39.36,87,53,24.16,broken clouds
87,Vila Velha,BR,-20.3297,-40.2925,71.55,94,100,12.66,overcast clouds
88,Husavik,IS,66.0449,-17.3389,45.57,92,100,9.78,overcast clouds
89,Port Elizabeth,ZA,-33.918,25.5701,65.1,96,100,3.44,overcast clouds
90,Chifeng,CN,42.2683,118.9636,85.28,20,2,22.46,clear sky
91,Dongying,CN,37.4564,118.4856,86.88,32,9,7.38,clear sky
92,Tarakan,ID,3.3,117.6333,83.7,79,40,5.75,light rain
93,Qurayyat,SA,31.3318,37.3428,68.18,60,0,6.91,clear sky
94,Itororo,BR,-15.1169,-40.0703,65.89,94,6,1.95,clear sky
95,Jamestown,US,42.097,-79.2353,46.04,89,0,8.05,clear sky
96,Camacha,PT,33.0833,-16.3333,67.42,73,40,11.5,scattered clouds
97,Severo-Kurilsk,RU,50.6789,156.125,48.72,73,41,23.94,scattered clouds
98,Asau,RO,46.4333,26.4,45.52,80,46,4.07,scattered clouds
99,Faanui,PF,-16.4833,-151.75,78.58,71,3,12.66,clear sky
100,Katsuura,JP,35.1333,140.3,75.45,62,0,13.85,clear sky
101,Leningradskiy,RU,69.3833,178.4167,24.49,77,19,7.87,few clouds
102,Punta Arenas,CL,-53.15,-70.9167,41.11,81,40,9.22,scattered clouds
103,Villazon,BO,-22.0866,-65.5942,36.0,30,0,2.53,clear sky
104,Ust-Maya,RU,60.4167,134.5333,35.2,46,100,7.99,overcast clouds
105,New Norfolk,AU,-42.7826,147.0587,55.92,41,11,5.08,few clouds
106,Nikolskoye,RU,59.7035,30.7861,46.8,98,100,4.56,overcast clouds
107,Marawi,PH,7.9986,124.2928,80.89,68,97,3.8,overcast clouds
108,Gonbad-E Qabus,IR,37.25,55.1672,77.95,74,11,3.36,few clouds
109,Shingu,JP,33.7333,135.9833,77.77,69,21,8.9,few clouds
110,Sistranda,NO,63.7256,8.834,48.16,72,99,5.44,overcast clouds
111,Carnarvon,AU,-24.8667,113.6333,78.22,50,0,19.66,clear sky
112,Dingle,PH,10.9995,122.6711,81.36,79,100,4.09,overcast clouds
113,Busselton,AU,-33.65,115.3333,71.69,45,0,3.83,clear sky
114,Kaitangata,NZ,-46.2817,169.8464,47.19,55,62,7.52,broken clouds
115,Ribeira Grande,PT,38.5167,-28.7,66.6,72,75,8.05,broken clouds
116,Port Hardy,CA,50.6996,-127.4199,53.6,100,40,2.3,scattered clouds
117,Svetlogorsk,BY,52.6333,29.7333,50.74,97,95,4.88,overcast clouds
118,Vanimo,PG,-2.6741,141.3028,85.06,67,100,8.84,overcast clouds
119,Hovd,MN,48.0056,91.6419,47.93,16,17,13.15,few clouds
120,Port-Gentil,GA,-0.7193,8.7815,76.86,82,22,8.39,few clouds
121,Ventosa,PT,39.127,-9.0842,59.45,92,2,12.88,clear sky
122,Cabo San Lucas,MX,22.8909,-109.9124,85.51,75,0,6.73,clear sky
123,Lompoc,US,34.6391,-120.4579,61.02,94,100,10.36,mist
124,Port Alfred,ZA,-33.5906,26.891,67.69,88,100,14.45,light rain
125,Asyut,EG,27.181,31.1837,83.12,31,0,3.56,clear sky
126,Contramaestre,CU,20.2978,-76.2414,74.73,90,100,2.48,overcast clouds
127,Chuy,UY,-33.6971,-53.4616,51.12,88,73,4.99,broken clouds
128,Macapa,BR,0.0389,-51.0664,82.38,89,40,3.44,scattered clouds
129,Santiago De Cao,PE,-7.9589,-79.2392,59.13,88,100,11.5,fog
130,Krasnoselkup,RU,65.7,82.4667,33.01,78,97,12.68,overcast clouds
131,Takoradi,GH,4.8845,-1.7554,73.38,92,5,5.84,clear sky
132,Payo,ID,-3.7508,103.6372,90.03,49,50,4.12,scattered clouds
133,Kungurtug,RU,50.5994,97.5228,35.35,73,94,3.6,overcast clouds
134,Luderitz,NA,-26.6481,15.1594,55.9,66,0,11.1,clear sky
135,Okhotsk,RU,59.3833,143.3,46.92,46,64,10.31,broken clouds
136,Barrow,US,71.2906,-156.7887,33.82,86,100,12.66,light snow
137,Borodino,RU,55.9106,94.8983,33.67,76,100,13.15,overcast clouds
138,Marang,MY,5.2056,103.2059,85.91,78,97,1.14,light rain
139,Brae,GB,60.3964,-1.353,53.89,86,100,27.56,overcast clouds
140,Adre,TD,13.4667,22.2,71.87,62,85,3.29,overcast clouds
141,Hirara,JP,24.8,125.2833,86.27,74,40,10.36,scattered clouds
142,Dano,BF,11.15,-3.0667,72.36,92,72,7.16,light rain
143,Jackson,US,42.4165,-122.8345,65.35,62,0,3.44,clear sky
144,Cururupu,BR,-1.8283,-44.8683,75.27,88,28,4.36,scattered clouds
145,Iranshahr,IR,27.2025,60.6848,82.74,61,0,6.91,clear sky
146,Tasiilaq,GL,65.6145,-37.6368,35.76,83,100,3.27,overcast clouds
147,Kodinsk,RU,58.6881,99.1844,36.72,55,100,8.63,overcast clouds
148,Isla Aguada,MX,18.7833,-91.4667,80.65,67,86,14.25,overcast clouds
149,Cape Town,ZA,-33.9258,18.4232,57.11,97,100,8.05,fog
150,Beringovskiy,RU,63.05,179.3167,38.48,58,100,7.67,overcast clouds
151,Atambua,ID,-9.1061,124.8925,85.33,60,78,6.17,broken clouds
152,Bondo,CD,3.8146,23.6866,66.16,99,98,1.41,overcast clouds
153,Greenville,US,35.6127,-77.3663,63.14,78,100,10.36,light rain
154,Wasilla,US,61.5814,-149.4394,50.81,74,100,17.27,overcast clouds
155,Kavieng,PG,-2.5744,150.7967,85.62,65,24,14.67,few clouds
156,Bulaevo,KZ,54.9056,70.4439,31.14,65,13,7.9,few clouds
157,Sortavala,RU,61.7053,30.6918,43.48,94,100,5.5,light rain
158,Turkmenabat,TM,39.0733,63.5786,62.58,36,0,6.91,clear sky
159,Menongue,AO,-14.6585,17.691,60.64,75,41,3.85,scattered clouds
160,San Patricio,US,28.017,-97.5169,75.06,57,0,5.7,clear sky
161,Bulungu,CD,-4.55,18.6,69.01,91,29,0.58,scattered clouds
162,Moyale,KE,3.5167,39.0584,63.88,77,22,10.67,few clouds
163,Abonnema,NG,4.7084,6.7931,73.8,94,100,4.12,overcast clouds
164,Saldanha,ZA,-33.0117,17.9442,60.85,87,0,8.28,clear sky
165,Darnah,LY,32.767,22.6367,77.34,86,31,7.25,scattered clouds
166,Beian,NO,63.6559,9.5683,51.01,93,0,12.66,clear sky
167,Dunedin,NZ,-45.8742,170.5036,47.08,55,53,5.57,broken clouds
168,Provideniya,RU,64.3833,-173.3,39.36,70,0,13.42,clear sky
169,Codaesti,RO,46.8667,27.75,55.54,72,22,2.95,few clouds
170,Sao Filipe,CV,14.8961,-24.4956,79.54,82,23,4.81,few clouds
171,Broken Hill,AU,-31.95,141.4333,67.08,39,91,5.7,overcast clouds
172,Enshi,CN,30.3,109.4833,84.15,58,80,2.01,broken clouds
173,Galveston,US,29.3669,-94.9669,75.31,56,0,12.66,clear sky
174,Westport,US,41.1415,-73.3579,59.76,74,0,9.22,clear sky
175,Paka,MY,4.6374,103.4368,87.73,70,40,4.61,scattered clouds
176,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,55.74,91,29,5.06,scattered clouds
177,Yulara,AU,-25.2406,130.9889,77.14,19,100,13.98,overcast clouds
178,Butaritari,KI,3.0707,172.7902,82.31,73,78,16.8,broken clouds
179,Panama City,PA,8.9936,-79.5197,80.55,83,75,4.61,broken clouds
180,Vardo,NO,70.3705,31.1107,42.78,75,7,11.5,clear sky
181,Grand-Lahou,CI,5.1367,-5.0242,73.92,93,42,5.39,scattered clouds
182,Khuzdar,PK,27.7384,66.6434,74.93,55,0,2.57,clear sky
183,Hithadhoo,MV,-0.6,73.0833,82.26,66,73,9.06,broken clouds
184,Mabai,CN,23.0128,104.4508,62.74,98,100,2.46,overcast clouds
